step_idx,t_step,month,demand,rl_order_qty,reward_env,reward_raw,reward_clipped,fulfilled,lost_sales,end_on_hand,baseline_order_qty,delta_order_qty_rl_minus_baseline,baseline_lost_sales,delta_lost_sales_rl_minus_baseline,baseline_reward_env,delta_reward_env_rl_minus_baseline
0,12,4,38.24919514095237,19,-682.9838740732687,-682.9838740732687,-682.9838740732687,24.16811191976962,14.081083221182748,114.0,69,-50,14.081083221182748,0.0,-892.9838740732687,210.0
1,12,4,1.169050732643235,19,-95.675682527039,-95.675682527039,-95.675682527039,1.169050732643235,0.0,226.83094926735677,2,17,0.0,0.0,-84.275682527039,-11.400000000000006
2,12,4,229.2335026765551,19,2044.3562881216674,2044.3562881216674,2044.3562881216674,226.83094926735677,2.402553409198333,114.0,119,-100,0.0,2.402553409198333,1753.4155374473908,290.9407506742766
3,12,4,3.654540649958618,19,-70.3236853704221,-70.3236853704221,-70.3236853704221,3.654540649958618,0.0,224.34545935004138,7,12,0.0,0.0,-179.04317468858244,108.71948931816034
4,12,4,45.33382672804846,19,332.73594075608594,332.73594075608594,332.73594075608594,45.33382672804846,0.0,293.01163262199293,79,-60,0.0,0.0,-63.98354856207436,396.7194893181603
5,13,4,34.66438198166905,19,210.1743696886258,210.1743696886258,210.1743696886258,34.66438198166905,0.0,372.34725064032386,0,19,0.0,0.0,78.25488037046546,131.91948931816034
6,13,4,182.0049083239535,19,1702.1806147762609,1702.1806147762609,1702.1806147762609,182.0049083239535,0.0,304.3423423163704,0,19,0.0,0.0,1588.0611254581004,114.1194893181605
7,13,4,0.8219062921022171,19,-137.2850242838315,-137.2850242838315,-137.2850242838315,0.8219062921022171,0.0,417.5204360242682,0,19,0.0,0.0,-223.60451360199175,86.31948931816027
8,13,4,2.859485040137628,19,-139.13733979544983,-139.13733979544983,-139.13733979544983,2.859485040137628,0.0,528.6609509841305,0,19,0.0,0.0,-202.65682911361017,63.51948931816034
9,13,4,48.21707908771614,19,301.2820164978785,301.2820164978785,301.2820164978785,48.21707908771614,0.0,594.4438718964144,0,19,0.0,0.0,260.5625271797182,40.7194893181603
10,14,4,49.08413807967339,19,296.96943403338565,296.96943403338565,296.96943403338565,49.08413807967339,0.0,659.359733816741,85,-66,0.0,0.0,-82.95005528477463,379.9194893181603
11,14,4,4.336060426558026,19,-172.44413041245636,-172.44413041245636,-172.44413041245636,4.336060426558026,0.0,769.023673390183,7,12,0.0,0.0,-303.96361973061664,131.51948931816028
12,14,4,226.0665423181306,5,2126.0739969668953,2126.0739969668953,2126.0739969668953,226.0665423181306,0.0,572.9571310720524,119,-114,0.0,0.0,1479.7545076487352,646.3194893181601
13,14,4,1.211951278187613,19,-187.02952317689684,-187.02952317689684,-187.02952317689684,1.211951278187613,0.0,685.7451797938648,2,17,0.0,0.0,-419.94901249505705,232.9194893181602
14,14,4,28.44005337300977,17,76.53950844592669,76.53950844592669,76.53950844592669,28.44005337300977,0.0,759.3051264208551,70,-53,0.0,0.0,-429.9799808722335,506.5194893181602
15,15,4,188.2632187441537,5,1742.4238059061968,1742.4238059061968,1742.4238059061968,188.2632187441537,0.0,601.0419076767014,119,-114,0.0,0.0,916.1043165880365,826.3194893181603
16,15,4,4.279363733725188,19,-161.35887145134336,-161.35887145134336,-161.35887145134336,4.279363733725188,0.0,710.7625439429762,7,12,0.0,0.0,-595.2783607695035,433.9194893181601
17,15,4,44.42962272675479,5,285.0296430243036,285.0296430243036,285.0296430243036,44.42962272675479,0.0,696.3329212162214,0,5,0.0,0.0,-158.88984629385652,443.9194893181601
18,15,4,0.9477326543541211,17,-205.99971116883225,-205.99971116883225,-205.99971116883225,0.9477326543541211,0.0,797.3851885618673,0,17,0.0,0.0,-593.5192004869924,387.51948931816014
19,15,4,34.15746809949641,5,162.92913690248994,162.92913690248994,162.92913690248994,34.15746809949641,0.0,793.2277204623708,0,5,0.0,0.0,-254.59035241567022,417.51948931816014
20,16,5,233.8091165153252,1,2217.0074443638428,2217.0074443638428,2217.0074443638428,233.8091165153252,0.0,565.4186039470457,0,1,0.0,0.0,1788.6879550456824,428.3194893181603
21,16,5,1.186614990624106,19,-185.78024788504325,-185.78024788504325,-185.78024788504325,1.186614990624106,0.0,678.2319889564216,2,17,0.0,0.0,-550.6997372032035,364.9194893181603
22,16,5,46.25786704338893,5,310.1838460512828,310.1838460512828,310.1838460512828,46.25786704338893,0.0,661.9741219130326,85,-80,0.0,0.0,-441.7356432668775,751.9194893181602
23,16,5,2.542072823271707,19,-191.26568158523511,-191.26568158523511,-191.26568158523511,2.542072823271707,0.0,773.4320490897609,0,19,0.0,0.0,-618.3851709033954,427.1194893181603
24,16,5,32.64444088875988,5,152.28688724739857,152.28688724739857,152.28688724739857,32.64444088875988,0.0,770.787608201001,71,-66,0.0,0.0,-614.0326020707616,766.3194893181602
25,17,5,2.891126090374517,5,-150.66803551838015,-150.66803551838015,-150.66803551838015,2.891126090374517,0.0,797.8964821106265,7,-2,0.0,0.0,-727.3875248365403,576.7194893181601
26,17,5,1.056677722032858,5,-174.80118365739014,-174.80118365739014,-174.80118365739014,1.056677722032858,0.0,826.8398043885936,2,3,0.0,0.0,-732.9206729755502,558.11948931816
27,17,5,28.43919831684481,5,98.71186195409828,98.71186195409828,98.71186195409828,28.43919831684481,0.0,828.4006060717488,0,5,0.0,0.0,-442.4076273640619,541.1194893181602
28,17,5,31.99394273394698,5,134.65809467190945,134.65809467190945,134.65809467190945,31.99394273394698,0.0,826.4066633378019,0,5,0.0,0.0,-400.4613946462507,535.1194893181602
29,17,5,128.010293315925,1,1131.2236591548744,1131.2236591548744,1131.2236591548744,128.010293315925,0.0,704.3963700218769,119,-118,0.0,0.0,80.50416983671437,1050.71948931816
30,18,5,134.2300715106716,1,1219.067455404475,1219.067455404475,1219.067455404475,134.2300715106716,0.0,576.1662985112054,0,1,0.0,0.0,531.5479660863147,687.5194893181603
31,18,5,1.326494276265993,19,-186.50301808432795,-186.50301808432795,-186.50301808432795,1.326494276265993,0.0,688.8398042349394,0,19,0.0,0.0,-797.222507402488,610.71948931816
32,18,5,40.66724864882533,5,251.03797537103048,251.03797537103048,251.03797537103048,40.66724864882533,0.0,678.1725555861141,85,-80,0.0,0.0,-757.6815139471296,1008.7194893181601
33,18,5,29.71197162747163,17,91.02759948298782,91.02759948298782,91.02759948298782,29.71197162747163,0.0,750.4605839586425,69,-52,0.0,0.0,-896.0918898351722,987.11948931816
34,18,5,2.574207740548059,19,-208.6351978381383,-208.6351978381383,-208.6351978381383,2.574207740548059,0.0,861.8863762180944,0,19,0.0,0.0,-954.9546871562982,746.3194893181599
35,19,5,166.8500968769093,1,1520.293712900856,1520.293712900856,1520.293712900856,166.8500968769093,0.0,701.036279341185,0,1,0.0,0.0,721.1742235826962,799.1194893181598
36,19,5,39.46775110929386,5,236.36380544656038,236.36380544656038,236.36380544656038,39.46775110929386,0.0,691.5685282318912,0,5,0.0,0.0,-544.7556838715996,781.1194893181599
37,19,5,0.9592247765357151,17,-204.92961292571394,-204.92961292571394,-204.92961292571394,0.9592247765357151,0.0,792.6093034553554,2,15,0.0,0.0,-943.0491022438738,738.1194893181598
38,19,5,34.04094452868913,5,162.69577350155802,162.69577350155802,162.69577350155802,34.04094452868913,0.0,788.5683589266663,0,5,0.0,0.0,-594.4237158166018,757.1194893181598
39,19,5,3.360305700604725,5,-149.4385536391651,-149.4385536391651,-149.4385536391651,3.360305700604725,0.0,815.2080532260616,0,5,0.0,0.0,-900.5580429573248,751.1194893181597
40,20,6,32.6398023612364,5,143.88437343939896,143.88437343939896,143.88437343939896,32.6398023612364,0.0,812.5682508648251,0,5,0.0,0.0,-601.2351158787608,745.1194893181597
41,20,6,2.06440544678281,5,-167.45671461578038,-167.45671461578038,-167.45671461578038,2.06440544678281,0.0,840.5038454180424,6,-1,0.0,0.0,-936.77620393394,769.3194893181596
42,20,6,179.2128294595342,5,1633.8700914036403,1633.8700914036403,1633.8700914036403,179.2128294595342,0.0,691.2910159585082,119,-114,0.0,0.0,388.7506020854805,1245.1194893181598
43,20,6,35.9209173714228,5,202.13515399681094,202.13515399681094,202.13515399681094,35.9209173714228,0.0,685.3700985870854,70,-65,0.0,0.0,-973.9843353213489,1176.1194893181598
44,20,6,1.014697490473099,17,-203.12410531459147,-203.12410531459147,-203.12410531459147,1.014697490473099,0.0,786.3554010966124,0,17,0.0,0.0,-1107.8435946327513,904.7194893181598
45,21,6,173.5043058789892,1,1603.2728397463673,1603.2728397463673,1603.2728397463673,173.5043058789892,0.0,618.8510952176232,0,1,0.0,0.0,651.7533504282073,951.5194893181599
46,21,6,0.837486286705124,17,-191.6278589191324,-191.6278589191324,-191.6278589191324,0.837486286705124,0.0,720.013608930918,2,15,0.0,0.0,-1088.1473482372924,896.5194893181599
47,21,6,41.65181885160189,5,254.84583050015567,254.84583050015567,254.84583050015567,41.65181885160189,0.0,708.3617900793162,82,-77,0.0,0.0,-1010.0736588180043,1264.91948931816
48,21,6,40.98675245713194,5,250.39251704688263,250.39251704688263,250.39251704688263,40.98675245713194,0.0,697.3750376221842,0,5,0.0,0.0,-757.5269722712773,1007.9194893181599
49,21,6,2.171530546111213,19,-202.1253959541025,-202.1253959541025,-202.1253959541025,2.171530546111213,0.0,809.203507076073,0,19,0.0,0.0,-1145.2448852722623,943.1194893181598
50,22,6,2.548422664682306,5,-161.8467902354551,-161.8467902354551,-161.8467902354551,2.548422664682306,0.0,836.6550844113907,0,5,0.0,0.0,-1140.9662795536149,979.1194893181598
51,22,6,39.97915677215322,5,214.45638219368465,214.45638219368465,214.45638219368465,39.97915677215322,0.0,826.6759276392374,71,-66,0.0,0.0,-1061.8631071244754,1276.31948931816
52,22,6,37.42484036158866,5,190.39818616035677,190.39818616035677,190.39818616035677,37.42484036158866,0.0,819.2510872776488,0,5,0.0,0.0,-861.9213031578032,1052.3194893181599
53,22,6,1.084405573554459,5,-178.78928060527429,-178.78928060527429,-178.78928060527429,1.084405573554459,0.0,848.1666817040943,0,5,0.0,0.0,-1225.1087699234345,1046.31948931816
54,22,6,152.6758643065894,1,1378.460479586393,1378.460479586393,1378.460479586393,152.6758643065894,0.0,701.490817397505,119,-118,0.0,0.0,-183.45900973176708,1561.91948931816
55,23,6,0.9825453176019846,17,-206.6762012399608,-206.6762012399608,-206.6762012399608,0.9825453176019846,0.0,802.508272079903,2,15,0.0,0.0,-1351.5956905581209,1144.91948931816
56,23,6,40.26216116666993,5,224.17238948405264,224.17238948405264,224.17238948405264,40.26216116666993,0.0,792.2461109132331,0,5,0.0,0.0,-939.7470998341075,1163.9194893181602
57,23,6,188.2255110580359,1,1752.2509906093194,1752.2509906093194,1752.2509906093194,188.2255110580359,0.0,610.0205998551972,0,1,0.0,0.0,577.5315012911594,1174.71948931816
58,23,6,3.128888994862263,19,-174.88945222344438,-174.88945222344438,-174.88945222344438,3.128888994862263,0.0,720.891710860335,6,13,0.0,0.0,-1303.0089415416044,1128.11948931816
59,23,6,44.42599374169379,5,282.96679399320965,282.96679399320965,282.96679399320965,44.42599374169379,0.0,706.4657171186412,82,-77,0.0,0.0,-1207.5526953249505,1490.5194893181601
60,24,7,3.550785931180225,19,-189.87512692568998,-189.87512692568998,-189.87512692568998,3.550785931180225,0.0,816.914931187461,0,19,0.0,0.0,-1364.59461624385,1174.71948931816
61,24,7,153.6437066142601,1,1394.5828212279607,1394.5828212279607,1394.5828212279607,153.6437066142601,0.0,669.2712245732009,119,-118,0.0,0.0,-337.7366680901994,1732.31948931816
62,24,7,0.8997193782658764,17,-201.07710725632825,-201.07710725632825,-201.07710725632825,0.8997193782658764,0.0,770.371505194935,0,17,0.0,0.0,-1502.9965965744884,1301.9194893181602
63,24,7,35.79998430532142,5,185.08553887529152,185.08553887529152,185.08553887529152,35.79998430532142,0.0,764.5715208896136,71,-66,0.0,0.0,-1450.0339504428684,1635.11948931816
64,24,7,46.46032972408283,5,294.9810590077222,294.9810590077222,294.9810590077222,46.46032972408283,0.0,748.1111911655307,0,5,0.0,0.0,-1116.1384303104378,1411.11948931816
65,25,7,0.872148442988806,5,-166.72632411462035,-166.72632411462035,-166.72632411462035,0.872148442988806,0.0,777.239042722542,2,3,0.0,0.0,-1585.2458134327806,1418.5194893181601
66,25,7,38.24242281526827,5,208.62490417122794,208.62490417122794,208.62490417122794,38.24242281526827,0.0,768.9966199072737,81,-76,0.0,0.0,-1538.094585146932,1746.71948931816
67,25,7,35.23928523891377,5,179.64138545546572,179.64138545546572,179.64138545546572,35.23928523891377,0.0,763.7573346683599,0,5,0.0,0.0,-1313.0781038626944,1492.7194893181602
68,25,7,2.115107161654868,5,-157.17737388479233,-157.17737388479233,-157.17737388479233,2.115107161654868,0.0,791.642227506705,6,-1,0.0,0.0,-1674.0968632029524,1516.91948931816
69,25,7,138.6163007932605,1,1246.3578225899162,1246.3578225899162,1246.3578225899162,138.6163007932605,0.0,659.0259267134445,0,1,0.0,0.0,-258.361666728244,1504.7194893181602
70,26,7,122.3989501259755,6,1086.4641059422613,1086.4641059422613,1086.4641059422613,122.3989501259755,0.0,572.626976587469,0,6,0.0,0.0,-396.0553833758988,1482.5194893181601
71,26,7,0.8875756286885538,17,-181.8721239048706,-181.8721239048706,-181.8721239048706,0.8875756286885538,0.0,673.7394009587805,0,17,0.0,0.0,-1610.9916132230305,1429.11948931816
72,26,7,33.68940444450915,5,182.8840451422372,182.8840451422372,182.8840451422372,33.68940444450915,0.0,670.0499965142714,0,5,0.0,0.0,-1276.235444175923,1459.1194893181603
73,26,7,40.52708123072011,5,253.36622925049085,253.36622925049085,253.36622925049085,40.52708123072011,0.0,659.5229152835512,0,5,0.0,0.0,-1199.753260067669,1453.11948931816
74,26,7,2.235354783593309,19,-193.90396426405852,-193.90396426405852,-193.90396426405852,2.235354783593309,0.0,771.287560499958,0,19,0.0,0.0,-1582.2234535822186,1388.31948931816
75,27,7,0.8976197120459726,5,-171.1017910371227,-171.1017910371227,-171.1017910371227,0.8976197120459726,0.0,800.389940787912,0,5,0.0,0.0,-1595.4212803552828,1424.31948931816
76,27,7,2.540356809768175,5,-160.16634869794703,-160.16634869794703,-160.16634869794703,2.540356809768175,0.0,827.8495839781439,0,5,0.0,0.0,-1578.4858380161072,1418.31948931816
77,27,7,147.6922910688211,1,1331.6914521063463,1331.6914521063463,1331.6914521063463,147.6922910688211,0.0,686.1572929093228,119,-118,0.0,0.0,-602.2280372118139,1933.9194893181602
78,27,7,34.26841239379453,5,186.3063478348396,186.3063478348396,186.3063478348396,34.26841239379453,0.0,681.8888805155283,0,5,0.0,0.0,-1367.6131414833208,1553.9194893181605
79,27,7,41.69804863734915,5,262.94231999785575,262.94231999785575,262.94231999785575,41.69804863734915,0.0,670.1908318781791,73,-68,0.0,0.0,-1596.5771693203046,1859.5194893181604
80,28,8,32.85113730739934,13,141.44343415983744,141.44343415983744,141.44343415983744,32.85113730739934,0.0,715.3396945707798,0,13,0.0,0.0,-1454.4760551583229,1595.9194893181602
81,28,8,1.290894053493843,9,-172.70081956851877,-172.70081956851877,-172.70081956851877,1.290894053493843,0.0,768.0488005172859,2,7,0.0,0.0,-1783.220308886679,1610.5194893181604
82,28,8,194.7478643116707,1,1823.618455875584,1823.618455875584,1823.618455875584,194.7478643116707,0.0,579.3009362056152,0,1,0.0,0.0,201.29896655742346,1622.3194893181605
83,28,8,3.048419012727989,19,-169.56631331129756,-169.56631331129756,-169.56631331129756,3.048419012727989,0.0,690.2525171928872,5,14,0.0,0.0,-1741.085802629458,1571.5194893181604
84,28,8,38.03533061712597,17,173.50986885610743,173.50986885610743,173.50986885610743,38.03533061712597,0.0,754.2171865757613,76,-59,0.0,0.0,-1687.809620462053,1861.3194893181605
85,29,8,32.92804043197166,5,159.02257509095867,159.02257509095867,159.02257509095867,32.92804043197166,0.0,751.2891461437896,73,-68,0.0,0.0,-1810.8969142272017,1969.9194893181605
86,29,8,108.462321207362,1,946.8578470863345,946.8578470863345,946.8578470863345,108.462321207362,0.0,648.8268249364276,0,1,0.0,0.0,-809.861642231826,1756.7194893181604
87,29,8,0.9495549149736778,17,-196.479904854554,-196.479904854554,-196.479904854554,0.9495549149736778,0.0,749.8772700214539,2,15,0.0,0.0,-1898.1993941727142,1701.7194893181602
88,29,8,2.79954754440378,5,-147.42006905137222,-147.42006905137222,-147.42006905137222,2.79954754440378,0.0,777.0777224770501,0,5,0.0,0.0,-1868.1395583695323,1720.7194893181602
89,29,8,48.91872860455106,5,317.55548727101086,317.55548727101086,317.55548727101086,48.91872860455106,0.0,758.158993872499,80,-75,0.0,0.0,-1738.1640020471496,2055.7194893181604
90,30,8,35.40256877888449,5,183.47440277012205,183.47440277012205,183.47440277012205,35.40256877888449,0.0,752.7564250936144,0,5,0.0,0.0,-1621.2450865480378,1804.7194893181597
91,30,8,2.072272108111369,5,-155.41410951598692,-155.41410951598692,-155.41410951598692,2.072272108111369,0.0,780.684152985503,5,0,0.0,0.0,-1980.133598834147,1824.7194893181602
